ID,Vehicle_ID,Driver_ID,FuelDate,Liters,CostPerLiter,TotalCost,Odometer,FuelEfficiency
a1b2c3d4-6001-4a11-9a11-1a2b3c4d5e6f,a1b2c3d4-1001-4a11-9a11-1a2b3c4d5e6f,a1b2c3d4-1111-4a11-9a11-1a2b3c4d5e6f,2024-01-10,35.50,102.00,3621.00,82000.00,18.5
b2c3d4e5-6002-4b22-9b22-2b3c4d5e6f7a,b2c3d4e5-1002-4b22-9b22-2b3c4d5e6f7a,b2c3d4e5-2222-4b22-9b22-2b3c4d5e6f7a,2024-01-18,42.00,101.50,4263.00,45000.50,17.8
c3d4e5f6-6003-4c33-9c33-3c4d5e6f7a8b,c3d4e5f6-1003-4c33-9c33-3c4d5e6f7a8b,c3d4e5f6-3333-4c33-9c33-3c4d5e6f7a8b,2024-01-25,48.00,100.80,4838.40,39000.00,16.9
d4e5f6a7-6004-4d44-9d44-4d5e6f7a8b9c,d4e5f6a7-1004-4d44-9d44-4d5e6f7a8b9c,d4e5f6a7-4444-4d44-9d44-4d5e6f7a8b9c,2024-02-05,38.00,103.20,3921.60,98000.00,18.2
e5f6a7b8-6005-4e55-9e55-5e6f7a8b9c0d,e5f6a7b8-1005-4e55-9e55-5e6f7a8b9c0d,e5f6a7b8-5555-4e55-9e55-5e6f7a8b9c0d,2024-02-12,40.50,104.00,4212.00,21000.00,17.6
f6a7b8c9-6006-4f66-9f66-6f7a8b9c0d1e,f6a7b8c9-1006-4f66-9f66-6f7a8b9c0d1e,f6a7b8c9-6666-4f66-9f66-6f7a8b9c0d1e,2024-02-20,50.00,105.50,5275.00,12000.00,14.2
1111a7b8-6007-4a11-9a11-1a2b3c4d5e6f,1a2b3c4d-1007-4a77-9a77-7a8b9c0d1e2f,1a2b3c4d-7777-4a77-9a77-7a8b9c0d1e2f,2024-03-01,37.20,101.20,3764.64,150000.00,18.9
2222b8c9-6008-4b22-9b22-2b3c4d5e6f7a,2b3c4d5e-1008-4b88-9b88-8b9c0d1e2f3a,2b3c4d5e-8888-4b88-9b88-8b9c0d1e2f3a,2024-03-08,44.00,102.30,4501.20,67000.00,17.4
3333c9d0-6009-4c33-9c33-3c4d5e6f7a8b,3c4d5e6f-1009-4c99-9c99-9c0d1e2f3a4b,3c4d5e6f-9999-4c99-9c99-9c0d1e2f3a4b,2024-03-15,41.00,103.50,4243.50,88000.00,18.0
4444d0e1-6010-4d44-9d44-4d5e6f7a8b9c,4d5e6f7a-1010-4daa-9daa-0d1e2f3a4b5c,4d5e6f7a-aaaa-4daa-9daa-0d1e2f3a4b5c,2024-03-22,39.00,104.20,4063.80,34000.00,17.9
5555e1f2-6011-4e55-9e55-5e6f7a8b9c0d,5e6f7a8b-1011-4ebb-9ebb-1e2f3a4b5c6d,5e6f7a8b-bbbb-4ebb-9ebb-1e2f3a4b5c6d,2024-04-02,36.50,101.80,3715.70,56000.00,18.6
6666f2a3-6012-4f66-9f66-6f7a8b9c0d1e,6f7a8b9c-1012-4fcc-9fcc-2f3a4b5c6d7e,6f7a8b9c-cccc-4fcc-9fcc-2f3a4b5c6d7e,2024-04-10,45.00,102.90,4630.50,72000.00,17.3
7777a3b4-6013-4a77-9a77-7a8b9c0d1e2f,7a8b9c0d-1013-4add-9add-3a4b5c6d7e8f,7a8b9c0d-dddd-4add-9add-3a4b5c6d7e8f,2024-04-18,33.00,103.10,3402.30,28000.00,19.2
8888b4c5-6014-4b88-9b88-8b9c0d1e2f3a,8b9c0d1e-1014-4bee-9bee-4b5c6d7e8f9a,8b9c0d1e-eeee-4bee-9bee-4b5c6d7e8f9a,2024-04-25,47.50,104.50,4963.75,160000.00,15.1
9999c5d6-6015-4c99-9c99-9c0d1e2f3a4b,9c0d1e2f-1015-4cff-9cff-5c6d7e8f9a0b,9c0d1e2f-ffff-4cff-9cff-5c6d7e8f9a0b,2024-05-02,40.00,102.70,4108.00,42000.00,18.4
