ID,Vehicle_ID,AlertType,DueDate,DueOdometer,Status,CreatedAt,Description
a111a1b2-4001-4a11-9a11-1a2b3c4d5e6f,f6a7b8c9-1006-4f66-9f66-6f7a8b9c0d1e,LicenseExpiry,2026-06-20,20000,Open,2024-01-10T10:00:00.000Z,EV insurance renewal reminder
b222b2c3-4002-4b22-9b22-2b3c4d5e6f7a,e5f6a7b8-1005-4e55-9e55-5e6f7a8b9c0d,ScheduledService,2025-08-15,30000,Open,2024-02-10T10:00:00.000Z,Periodic service due
c333c3d4-4003-4c33-9c33-3c4d5e6f7a8b,d4e5f6a7-1004-4d44-9d44-4d5e6f7a8b9c,EngineCheck,2025-05-20,105000,Acknowledged,2024-03-05T10:00:00.000Z,Engine performance check required
d444d4e5-4004-4d44-9d44-4d5e6f7a8b9c,c3d4e5f6-1003-4c33-9c33-3c4d5e6f7a8b,BrakeInspection,2025-04-10,42000,Open,2024-03-18T10:00:00.000Z,Brake system inspection pending
e555e5f6-4005-4e55-9e55-5e6f7a8b9c0d,b2c3d4e5-1002-4b22-9b22-2b3c4d5e6f7a,TireRotation,2025-09-01,50000,Closed,2024-04-02T10:00:00.000Z,Tyre rotation completed
f666f6a7-4006-4f66-9f66-6f7a8b9c0d1e,1a2b3c4d-1007-4a77-9a77-7a8b9c0d1e2f,EngineCheck,2024-02-10,155000,Closed,2024-04-20T10:00:00.000Z,Major engine overhaul completed
1111a7b8-4007-4a11-9a11-1a2b3c4d5e6f,2b3c4d5e-1008-4b88-9b88-8b9c0d1e2f3a,LicenseExpiry,2025-03-25,72000,Open,2024-05-10T10:00:00.000Z,Insurance renewal required
2222b8c9-4008-4b22-9b22-2b3c4d5e6f7a,3c4d5e6f-1009-4c99-9c99-9c0d1e2f3a4b,ScheduledService,2025-11-11,90000,Acknowledged,2024-05-25T10:00:00.000Z,Regular service scheduled
3333c9d0-4009-4c33-9c33-3c4d5e6f7a8b,4d5e6f7a-1010-4daa-9daa-0d1e2f3a4b5c,EngineCheck,2026-02-18,45000,Open,2024-06-05T10:00:00.000Z,Engine tuning required
4444d0e1-4010-4d44-9d44-4d5e6f7a8b9c,a1b2c3d4-1001-4a11-9a11-1a2b3c4d5e6f,TireRotation,2025-06-10,90000,Closed,2024-06-18T10:00:00.000Z,Tyre rotation completed
5555e1f2-4011-4e55-9e55-5e6f7a8b9c0d,5e6f7a8b-1011-4ebb-9ebb-1e2f3a4b5c6d,ScheduledService,2025-07-10,60000,Open,2024-07-02T10:00:00.000Z,Periodic maintenance due
6666f2a3-4012-4f66-9f66-6f7a8b9c0d1e,6f7a8b9c-1012-4fcc-9fcc-2f3a4b5c6d7e,BrakeInspection,2025-10-05,75000,Open,2024-07-15T10:00:00.000Z,Brake pad check pending
7777a3b4-4013-4a77-9a77-7a8b9c0d1e2f,7a8b9c0d-1013-4add-9add-3a4b5c6d7e8f,EngineCheck,2026-03-18,35000,Acknowledged,2024-08-01T10:00:00.000Z,Engine diagnostics required
8888b4c5-4014-4b88-9b88-8b9c0d1e2f3a,8b9c0d1e-1014-4bee-9bee-4b5c6d7e8f9a,TireRotation,2024-12-20,165000,Closed,2024-08-12T10:00:00.000Z,Tyre replacement completed
9999c5d6-4015-4c99-9c99-9c0d1e2f3a4b,9c0d1e2f-1015-4cff-9cff-5c6d7e8f9a0b,ScheduledService,2025-12-20,50000,Open,2024-09-01T10:00:00.000Z,Service reminder generated
