ID,Vehicle_ID,ServiceType,ServiceDate,ServiceCenter,Odometer,Cost,Description,NextServiceOdometer,createdAt,createdBy,modifiedAt,modifiedBy
a1b2c3d4-3001-4a11-9a11-1a2b3c4d5e6f,f6a7b8c9-1006-4f66-9f66-6f7a8b9c0d1e,GeneralService,2024-01-15,Bangalore Service Hub,12000.00,8500.00,EV inspection,20000,2024-01-15T10:00:00.000Z,system,2024-01-15T10:00:00.000Z,system
b2c3d4e5-3002-4b22-9b22-2b3c4d5e6f7a,e5f6a7b8-1005-4e55-9e55-5e6f7a8b9c0d,EngineCheck,2024-02-10,Chennai Auto Care,21000.00,12000.00,Engine tuning service,30000,2024-02-10T10:00:00.000Z,system,2024-02-10T10:00:00.000Z,system
c3d4e5f6-3003-4c33-9c33-3c4d5e6f7a8b,d4e5f6a7-1004-4d44-9d44-4d5e6f7a8b9c,GeneralService,2024-03-05,Mysore Service Point,98000.00,15000.00,Full inspection service,105000,2024-03-05T10:00:00.000Z,system,2024-03-05T10:00:00.000Z,system
d4e5f6a7-3004-4d44-9d44-4d5e6f7a8b9c,c3d4e5f6-1003-4c33-9c33-3c4d5e6f7a8b,BrakeCheck,2024-03-18,Bangalore Service Hub,39000.00,6000.00,Brake pad replacement,42000,2024-03-18T10:00:00.000Z,system,2024-03-18T10:00:00.000Z,system
e5f6a7b8-3005-4e55-9e55-5e6f7a8b9c0d,b2c3d4e5-1002-4b22-9b22-2b3c4d5e6f7a,GeneralService,2024-04-02,Hubli Auto Works,45000.00,9000.00,Periodic maintenance,50000,2024-04-02T10:00:00.000Z,system,2024-04-02T10:00:00.000Z,system
f6a7b8c9-3006-4f66-9f66-6f7a8b9c0d1e,1a2b3c4d-1007-4a77-9a77-7a8b9c0d1e2f,EngineCheck,2024-04-20,Bangalore Service Hub,150000.00,20000.00,Major engine repair,155000,2024-04-20T10:00:00.000Z,system,2024-04-20T10:00:00.000Z,system
1111c3d4-3007-4a11-9a11-1a2b3c4d5e6f,2b3c4d5e-1008-4b88-9b88-8b9c0d1e2f3a,TireRotation,2024-05-10,Chennai Auto Care,67000.00,3000.00,Tyre rotation service,72000,2024-05-10T10:00:00.000Z,system,2024-05-10T10:00:00.000Z,system
2222d4e5-3008-4b22-9b22-2b3c4d5e6f7a,3c4d5e6f-1009-4c99-9c99-9c0d1e2f3a4b,BrakeCheck,2024-05-25,Mangalore Service Center,88000.00,7000.00,Brake system repair,90000,2024-05-25T10:00:00.000Z,system,2024-05-25T10:00:00.000Z,system
3333e5f6-3009-4c33-9c33-3c4d5e6f7a8b,4d5e6f7a-1010-4daa-9daa-0d1e2f3a4b5c,TireRotation,2024-06-05,Mysore Service Point,34000.00,2500.00,Tyre alignment,40000,2024-06-05T10:00:00.000Z,system,2024-06-05T10:00:00.000Z,system
4444f6a7-3010-4d44-9d44-4d5e6f7a8b9c,a1b2c3d4-1001-4a11-9a11-1a2b3c4d5e6f,GeneralService,2024-06-18,Bangalore Service Hub,82000.00,10000.00,Full service check,90000,2024-06-18T10:00:00.000Z,system,2024-06-18T10:00:00.000Z,system
5555a7b8-3011-4e55-9e55-5e6f7a8b9c0d,e5f6a7b8-1005-4e55-9e55-5e6f7a8b9c0d,EngineCheck,2024-07-02,Hubli Auto Works,21000.00,11000.00,Engine diagnostics,30000,2024-07-02T10:00:00.000Z,system,2024-07-02T10:00:00.000Z,system
6666b8c9-3012-4f66-9f66-6f7a8b9c0d1e,f6a7b8c9-1006-4f66-9f66-6f7a8b9c0d1e,GeneralService,2024-07-15,Bangalore Service Hub,12000.00,8000.00,EV checkup,20000,2024-07-15T10:00:00.000Z,system,2024-07-15T10:00:00.000Z,system
7777c4d5-3013-4a77-9a77-7a8b9c0d1e2f,b2c3d4e5-1002-4b22-9b22-2b3c4d5e6f7a,BrakeCheck,2024-08-01,Chennai Auto Care,45000.00,6500.00,Brake pad replacement,50000,2024-08-01T10:00:00.000Z,system,2024-08-01T10:00:00.000Z,system
8888d5e6-3014-4b88-9b88-8b9c0d1e2f3a,c3d4e5f6-1003-4c33-9c33-3c4d5e6f7a8b,GeneralService,2024-08-12,Mysore Service Point,39000.00,9000.00,Full service,42000,2024-08-12T10:00:00.000Z,system,2024-08-12T10:00:00.000Z,system
9999e6f7-3015-4c99-9c99-9c0d1e2f3a4b,d4e5f6a7-1004-4d44-9d44-4d5e6f7a8b9c,EngineCheck,2024-09-01,Bangalore Service Hub,98000.00,15000.00,Engine overhaul,105000,2024-09-01T10:00:00.000Z,system,2024-09-01T10:00:00.000Z,system
